Question,Answer
console.log(THING_TO_OUTPUT),"A built-in JavaScript function that will push messages to the browsers error console. It is a very useful tool for debugging code, for seeing how variables are changing in your code. You can output strings, numbers, variables, objects, arrays and combinations of these for inspection."
Math.random(),"Generates a random floating point number between 0 & 1. To convert this to a number range that we want - for example a random number between 1 & 10. First we multiply the result of Math.random() by 10 (the amount of potential numbers from 1 to 10) - this will give us numbers that range from 0 to 9.99999. Because Math.random() won't ever return the whole number 1 and to remove the decimal places, we use Math.ceil()to round the result of Math.random()*10 up to the nearest whole number. See more on the Math object."
What type of language is JavaScript?,It is a scripting language.
What is a scripting language?,A scripting language is a lightweight programming language.
What would be the result of the following code?,
<script>,
"document.write(""<h1>This is a heading</h1>"");",
"document.write(""<p>This is a paragraph</p>"");",
</script>,It will write what is between the <h1> and <p> tags to the browser screen formatted accordingly to the respective HTML tags
"What happens if you call the ""document.write"" function after the document has fully loaded?",The html document will be deleted and replaced by your new content.
The alert() function is not much used in JavaScript. What is it is useful for?,It is often quite handy for trying out code.
What will this code do?,
"<p id=""demo""> JavaScript can change the content of an HTML element.</p>",
<script>,
function myFunction() {,
"x=document.getElementById(""demo""); // Find the element",
"x.innerHTML=""Hello JavaScript!""; // Change the content",
},
</script>,It will change the text between the <p> tags to the content in quotes after x.innerHTML
Hello JavaScript!,
What does this piece of code tell the computer to do ?,
"x=document.getElementById(""demo"")","Find the Element (""demo"");"
"document.getElementById(""some id"")",
"(The ""Id"" could be anything else.)",
What does this piece of code tell the computer to do?,
"x.innerHTML=""Hello JavaScript!"";",Change the content of the x variable to Hello JavaScript!
"parseInt: If the first character cannot be converted to a number, what is returned?",NaN
What does parseFloat do?,"It parses its argument, and returns a floating point number. If it encounters a character other than a sign (+ or -), numeral (0-9), a decimal point, or an exponent, it returns the value up to that point and ignores that character and all succeeding characters. Leading and trailing spaces are allowed."
Math.random(),"This function returns a floating-point, pseudo-random number in the range 0 to 1 — that is, from 0 (inclusive) up to but not including 1 (exclusive) — which you can then scale to your desired range. The implementation selects the initial seed to the random number generation algorithm; it cannot be chosen or reset by the user."
What is the DOM?,The DOM is a representation of a webpage that JavaScript can use.
Object Prototype,"function Person(first, last, age, eyecolor) {"
this.firstName = first;,
this.lastName = last;,
this.age = age;,
this.eyeColor = eyecolor;,
"Which index is zero based? (The first element is 0, the second is 1, and so on.)",Array
pop(),"Removes the last element of an array, and returns that element"
push(),"Adds new elements to the end of an array, and returns the new length"
shift(),"Removes the first element of an array, and returns that element"
splice(),"adds/removes items to/from an array, and returns the removed item(s)"
unshift(),"Adds new elements to the beginning of an array, and returns the new length"
children,"children property returns a collection of an element's child elements, as an HTMLCollection object"
,
The elements in the collection are sorted as they appear in the source code and can be accessed by index numbers. The index starts at 0.,
childNodes,"The childNodes property returns a collection of a node's child nodes, as a NodeList object."
,
The nodes in the collection are sorted as they appear in the source code and can be accessed by index numbers. The index starts at 0.,
,
"Note: Whitespace inside elements is considered as text, and text is considered as nodes. Comments are also considered as nodes.",
,
"Tip: You can use the length property of the NodeList object to determine the number of child nodes, then you can loop through all child nodes and extract the info you want.",
z-index,"The z-index CSS property specifies the z-order of a positioned element and its descendants. When elements overlap, z-order determines which one covers the other. An element with a larger z-index generally covers an element with a lower one."
clearInterval,"cancels a timed, repeating action which was previously established by a call to setInterval()."
intervalId,"let intervalID = setInterval(function() { console.log(""Happening every 500ms!""); }, 500);"
,
clearInterval(intervalID);,
Object LIteral,A comma-separated list of name-value pairs wrapped in curly braces.
,
"var person = {firstName:""John"", lastName:""Doe"", age:50, eyeColor:""blue""};",
document.querySelector(),"Returns the first Element within the document that matches the specified selector, or group of selectors, or null if no matches are found."
document.querySelectorAll(),Returns a list of the elements within the document (using depth-first pre-order traversal of the document's nodes) that match the specified group of selectors. The object returned is a NodeList.
.addEventListener,('click' ( ) {
p.textContent = input.value,
}),
.textContent,similar to .innerHTML
.innerHTML,can read and alter the elements on a webpage
return,ends function execution and specifies a value to be returned to the function caller
ternary,this.items = items !== undefined ? items : [];
"(if items is undefined, return items; otherwise return the array)",
<script>,
"var toys = [""jacks"", ""matchbox cars"", ""yo-yos"", ""marbles""];",
,
// ES5,
// for(var i = 0; i < toys.length; i++){,
// console.log(toys[i]);,
// },
,
</script>,for loop that prints all items in array
<script>,
"var toys = [""jacks"", ""matchbox cars"", ""yo-yos"", ""marbles""];",
,
// ES6,
// for(var toy of toys){,
// console.log(toy);,
// },
,
</script>,for of loop that prints all items in array
<script>,
"var toys = [""jacks"", ""matchbox cars"", ""yo-yos"", ""marbles""];",
,
// jQuery,
"// $.each(toys, function(index, value){",
// console.log(value);,
// });,
,
</script>,The $.each() function internally retrieves and uses the length property of the passed collection.
"button.addEventListener('click', () => {",
p.innerHTML = input.value + ':';,
});,"When the button is clicked, the text between the <p> tags is changed per what is typed into input box"
What is a dataset?,"The dataset property on the HTMLElement interface provides read/write access to all the custom data attributes (data-*) set on the element. This access is available both in HTML and within the DOM. It is a map of DOMString, one entry for each custom data attribute."
Math.floor(),A function that returns the largest integer less than or equal to a given number.
parseFloat(),This function parses a string and returns a floating point number.
,
"This function determines if the first character in the specified string is a number. If it is, it parses the string until it reaches the end of the number, and returns the number as a number, not as a string.",
parseInt(),This function parses a string and returns an integer. (Only the first number gets returned.)
Node properties to navigate between nodes with JavaScript,"parentNode, childNodes[nodenumber], firstChild, lastChild, nextSibling, previousSibling"
A common error in DOM processing,to expect an element node to contain text
The value of the text node,can be accessed by the node's innerHTML property
"The same as: var myTitle = document.getElementById(""demo"").innerHTML;","var myTitle = document.getElementById(""demo"").firstChild.nodeValue;"
"var myTitle = document.getElementById(""demo"").childNodes[0].nodeValue;",
Two special properties that allow access to the full document,document.body - The body of the document
document.documentElement - The full document,
nodeName always contains this,the uppercase tag name of an HTML element
The nodeValue property specifies the value of a node. Name three specific uses of nodeValue:,nodeValue for element nodes is null
nodeValue for text nodes is the text itself,
nodeValue for attribute nodes is the attribute value,
The most important nodeType properties are:,"ELEMENT_NODE 1 <h1 class=""heading"">W3Schools</h1>"
"ATTRIBUTE_NODE 2 class = ""heading"" (deprecated)",
TEXT_NODE 3 W3Schools,
COMMENT_NODE 8 <!-- This is a comment -->,
DOCUMENT_NODE 9 The HTML document itself (the parent of <html>),
DOCUMENT_TYPE_NODE 10 <!Doctype html>,
"In terms of DOM, <html> =",document.documentElement
"In terms of DOM, <body> =",document.body
"In terms of DOM, <head> =",document.head
elem.childNodes[0] ===,elem.firstChild
elem.childNodes[elem.childNodes.length - 1] ===,elem.lastChild
elem.hasChildNodes(),used to check whether there are any child nodes
childNodes,It looks like an array but it's not. It's a collection - a special array-like iterable object
