Question,Answer
Prepayment penalty,"This is a fee charged to borrowers who pay a loan off faster than the prescribed payment schedule. Some prepayment penalties can add up to thousands of dollars, so they're worth asking about. Many states place limits on prepayment penalties. Make sure to call your state banking commission to see if prepayment penalties are allowed where you live and, if so, how large they can be."
Principal,"The amount of debt, excluding interest, left on a loan."
"Private mortgage insurance, or PMI",An insurance policy that protects the lender against default on loans by providing a way for mortgage companies to recoup the costs of foreclosure. PMI is usually required if the down payment is less than 20 percent of the sale price. Home buyers pay for the coverage in monthly installments. PMI should be terminated when the home buyer has built up 20 percent equity in the property.
Title insurance,"A policy that guarantees that an owner properly has title to a property and can legally transfer title to someone else. Should a problem arise, the title insurer pays any legal damages. A policy may protect the mortgage lender, the home buyer or both."
Interest rate,"The amount of interest paid per year divided by the principal amount (that is, the amount loaned). For example, if you paid $5,000 in interest per year for a loan of $100,000, the interest rate is 5,000 divided by 100,000, or five percent (5%).A fixed-rate mortgage is a loan with an interest rate that remains the same over the life of the loan.An adjustable-rate mortgage (ARM) is a mortgage with an interest rate that changes at scheduled dates to reflect market conditions."
Term,"A period of time over which a loan is scheduled to be repaid. For example, a home mortgage may have a 30-year term, meaning it must be repaid within 30 years."
Loan to value (LTV),"The amount of a loan in relation to the value of the property. For example: an $80,000 loan on a property worth $100,000 would be 80% LTV. If there is more than one loan, this is called the ""combined"" loan to value."
Closing,The day and time when all final mortgage documents are signed and all necessary payments are transferred to complete the purchase of a house. Also known as the settlement date.
Fixed-rate home loan,interest rate remains the same for the life of the loan and the payment is split into equal monthly payments for the duration.
,
"During the first few years, only a small portion of the payment pays off principal. Most goes to pay off interest.",
,
"These home loans can be 10 years, 15 years or 20, but most popular is the 30-year because that makes your payment the lowest.",
Bridge Loan,An interim loan is made to finance a buyers new residence if the buyer is unable to sell his/her current residence but needs money to close the transaction.
Real Estate Egent,
Real Estate Broker,A person (not an employee of a lender) who brings a borrower and a lender together to obtain a federally-related mortgage loan. They have access to a variety of lenders and often offers the most choice in loan programs. They are paid a fee by the borrower or the lender when a loan closes
Buydown,"With a _____________, the seller pays an amount to the lender so that the lender can give you a lower rate and lower payments, usually for an early period in an ARM. The seller may increase the sales price to cover the cost of this. They can occur in all types of mortgages, not just ARMs."
Clear Title,A title that free of liens or holds on the property
Closing Costs,The numerous expenses which buyers and sellers normally incur to complete a transaction in the transfer of ownership of real estate. These costs are in addition to price of the property and are items prepaid at the closing day
Closing Day,"The day on which the formalities of a real estate sale are concluded. The certificate of title, abstract, and deed are generally prepared for the closing by an attorney and this cost charged to the buyer. The buyer signs the mortgage, and closing costs are paid. The final closing merely confirms the original agreement reached in the agreement of sale."
Contingency,A condition put on an offer to buy a home; such as the perspective buyer making an offer contingent on his or her sale of a present home.
Conventional Mortgage,A mortgage loan not insured by HUD or guaranteed by the Veterans' Administration. It is subject to conditions established by the lending institution and State statutes. The mortgage rates may vary with different institutions and between States. (States have various interest limits.)
Credit Report,"A report documenting the history of how you paid back the companies you have borrowed money from, or how you have met other financial obligations"
Depreciation,"Decline in value of a house due to wear and tear, adverse changes in the neighborhood, or any other reason."
Downpayment,The amount of money to be paid by the purchaser to the seller or lending institution upon the signing of the agreement of sale
Earnest Money,The deposit money given to the seller or his agent by the potential buyer upon the signing of the agreement of sale to show that he is serious about buying the house.
Equity,This is computed by subtracting from the property's fair market value the total of the unpaid mortgage balance and any outstanding liens or other debts against the property.
Escrow,"Funds paid by one party to another (their financial instutition to hold until the occurrence of a specified event, after which the funds are released to a designated individual"
Federal Housing Administration (FHA),A part of the U.S. Department of Housing and Urban Development (HUD). They assists first-time home buyers and others who might not be able to meet down payment requirements for conventional loans by providing mortgage insurance to private lenders.
FHA Loan,"A loan insured by the Federal Housing Administration open to all qualified home purchasers. Interest rates on these loans are generally market rates, while down payment requirements are lower than for conventional loans"
Interest,A charge paid for borrowing money.
Lien,"A claim by one person on the property of another as security for money owed. Such claims may include obligations not met or satisfied, judgments, unpaid taxes, materials, or labor."
Margin,The number of percentage points the lender adds to the index rate to calculate the ARM interest rate at each adjustment.
Mortgage Note,"A written agreement to repay a loan. The agreement is secured by a mortgage, serves as proof of an indebtedness, and states the manner in which it shall be paid."
Negative Amortization,"This occurs when the monthly payments do not cover all of the interest cost. The interest cost that isn't covered is added to the unpaid principal balance. This means that even after making many payments, you could owe more than you did at the beginning of the loan"
PITI,"Principal, Interest, Taxes and Insurance. These components are usually included in the monthly mortgage payment."
Prepayment,"Payment of mortgage loan, or part of it, before due date. Mortgage agreements often restrict the right to do this either by limiting the amount that can be prepaid in any one year or charging a penalty"
Private Mortgage Insurance (PMI),An insurance policy the borrower buys to protect the lender from non-payment of the loan.
Reverse Mortgage,A special type of home loan that lets elderly homeowners convert the equity in their home into cash.
Second mortgage,"A mortgage in addition to the first mortgage. Home equity loans, credit lines, home improvement loans are second mortgage loans. These are subordinate to the first one."
"They usually carry a higher interest rate, and they often are for a shorter time.",
"Truth-In-Lending Act ( TIL, also called Regulation Z)","Under this act a lender is required to provide you with a disclosure estimating the costs of the loan you have applied for, including your total finance charge and the Annual Percentage Rate (APR) within three business days of your application for a loan."
VA Loan,"A mortgage for veterans and service persons guaranteed by the Department of Veterans Affairs (VA), requiring very low or no downpayments and with generous requirements for qualification."
